url,url_total_clicks,url_total_impressions,url_ctr_percent,url_avg_position,num_queries_conocidas,top_query,top_query_clicks,top_query_impressions,top_query_ctr_percent,top_query_position,pct_clicks_from_top_query_all,pct_imps_from_top_query_all
https://www.pccomponentes.com/mejores-televisores-grandes-colgarlos-pared,113,3752,3.01,4.1,153,televisores para colgar en la pared,6.0,51.0,11.76,0.4,5.3,1.4
https://www.pccomponentes.com/los-mejores-televisores-oled-50-pulgadas,111,3045,3.65,15.0,154,tv oled 50 pulgadas,22.0,249.0,8.84,7.1,19.8,8.2
https://www.pccomponentes.com/televisores/85-pulgadas,110,8208,1.34,7.5,228,tv 85 pulgadas,21.0,2100.0,1.0,7.0,19.1,25.6
https://www.pccomponentes.com/mejores-televisores-oled-55-pulgadas,105,1645,6.38,13.5,98,mejor tv 55 pulgadas gama alta,12.0,71.0,16.9,0.9,11.4,4.3
https://www.pccomponentes.com/los-mejores-televisores-qled-40-pulgadas,100,2017,4.96,10.6,99,mejor tv 40 pulgadas,4.0,41.0,9.76,4.1,4.0,2.0
https://www.pccomponentes.com/televisores/70-pulgadas,89,6195,1.44,4.7,308,tv 70 pulgadas,24.0,1207.0,1.99,3.4,27.0,19.5
https://www.pccomponentes.com/televisores/ambilight,87,4139,2.1,5.2,225,tv con luces led,6.0,19.0,31.58,0.5,6.9,0.5
https://www.pccomponentes.com/televisores/65-pulgadas/samsung,86,13645,0.63,7.5,504,tv samsung 65 pulgadas,12.0,2511.0,0.48,7.0,14.0,18.4
https://www.pccomponentes.com/los-televisores-mas-grandes,83,11734,0.71,8.2,464,pantallas de tv mas grandes,3.0,10.0,30.0,0.5,3.6,0.1
https://www.pccomponentes.com/televisores/65-pulgadas/qled,81,5512,1.47,6.4,303,tv 65 pulgadas qled,6.0,209.0,2.87,2.3,7.4,3.8
https://www.pccomponentes.com/mejores-televisores-tcl-del-mercado,80,4235,1.89,7.5,212,mejor tv tcl 55 pulgadas,3.0,32.0,9.38,2.7,3.8,0.8
https://www.pccomponentes.com/mejores-televisores-40-pulgadas-baratos,79,4664,1.69,12.6,191,mejor smart tv 40 pulgadas,4.0,17.0,23.53,1.4,5.1,0.4
https://www.pccomponentes.com/televisores/55-pulgadas/qled,78,5313,1.47,5.9,219,tv 55 pulgadas qled ofertas,6.0,135.0,4.44,2.9,7.7,2.5
https://www.pccomponentes.com/televisores/50-pulgadas/qled,78,4025,1.94,5.6,299,televisor 50 pulgadas qled,9.0,77.0,11.69,0.6,11.5,1.9
https://www.pccomponentes.com/conector-samsung-card-slot-common-interface-5v-para-modulos-c-y-televisores-lcd-led,78,2289,3.41,3.3,132,common interface 5v only,6.0,224.0,2.68,2.7,7.7,9.8
https://www.pccomponentes.com/televisores/65-pulgadas/mini-led,76,1601,4.75,3.1,78,tv mini led 65,9.0,218.0,4.13,3.8,11.8,13.6
https://www.pccomponentes.com/televisores/100-pulgadas,71,5055,1.4,7.0,140,tv 100 pulgadas,23.0,1501.0,1.53,7.3,32.4,29.7
https://www.pccomponentes.com/mejores-televisores-menos-1000-euros,71,865,8.21,4.7,25,mejor tv 65 pulgadas menos 1000 euros,3.0,6.0,50.0,0.0,4.2,0.7
